source,target
S0HPF7,ion binding
S0HPF7,cation binding
S0HPF7,type IV pilus assembly
S0HPF7,pilus organization
S0HPF7,cellular component biogenesis
S0HPF7,type IV pilus
S0HPF7,metal ion binding
S0HPF7,cell motility
S0HPF7,cellular component organization or biogenesis
S0HPF7,cellular anatomical entity
P48057,neurotransmitter uptake
P48057,regulation of neurotransmitter levels
P48057,molecular_function
P48057,transporter activity
P48057,amino acid:sodium symporter activity
P48057,gamma-aminobutyric acid:sodium:chloride symporter activity
P48057,organic acid transmembrane transporter activity
P48057,organic acid:sodium symporter activity
P48057,amino acid:monoatomic cation symporter activity
P48057,cellular_component
P48057,transport
P48057,neurotransmitter transport
P48057,monocarboxylic acid transmembrane transporter activity
P48057,biological_process
P48057,monoatomic cation transmembrane transporter activity
P48057,monoatomic anion transmembrane transporter activity
P48057,organic anion transmembrane transporter activity
P48057,cellular process
P48057,monoatomic ion transmembrane transporter activity
P48057,sodium ion transmembrane transporter activity
P48057,inorganic anion transmembrane transporter activity
P48057,chloride transmembrane transporter activity
P48057,amino acid transmembrane transporter activity
P48057,gamma-aminobutyric acid transmembrane transporter activity
P48057,secondary active transmembrane transporter activity
P48057,symporter activity
P48057,solute:monoatomic cation symporter activity
P48057,monoatomic anion:monoatomic cation symporter activity
P48057,inorganic molecular entity transmembrane transporter activity
P48057,secondary active monocarboxylate transmembrane transporter activity
P48057,solute:sodium symporter activity
P48057,monoatomic anion:sodium symporter activity
P48057,chloride:monoatomic cation symporter activity
P48057,sodium:chloride symporter activity
P48057,active transmembrane transporter activity
P48057,active monoatomic ion transmembrane transporter activity
P48057,transmembrane transporter activity
P48057,inorganic cation transmembrane transporter activity
P48057,cell junction
P48057,synapse
P48057,metal ion transmembrane transporter activity
P48057,carboxylic acid transmembrane transporter activity
P48057,localization
P48057,establishment of localization
P48057,cellular localization
P48057,establishment of localization in cell
P48057,biological regulation
P48057,regulation of biological quality
P48057,import into cell
P48057,neurotransmitter reuptake
P48057,GABA-ergic synapse
P48057,cellular anatomical entity
P48057,monocarboxylate:sodium symporter activity
P48057,salt transmembrane transporter activity
P81428,molecular_function
P81428,catalytic activity
P81428,endopeptidase activity
P81428,serine-type endopeptidase activity
P81428,cellular_component
P81428,extracellular region
P81428,peptidase activity
P81428,serine-type peptidase activity
P81428,hydrolase activity
P81428,serine hydrolase activity
P81428,cellular anatomical entity
P81428,"catalytic activity, acting on a protein"
G3V802,response to hypoxia
G3V802,molecular_function
G3V802,binding
G3V802,protein binding
G3V802,cellular_component
G3V802,intracellular anatomical structure
G3V802,nucleus
G3V802,response to stress
G3V802,sensory organ development
G3V802,biological_process
G3V802,positive regulation of cell population proliferation
G3V802,response to abiotic stimulus
G3V802,response to endogenous stimulus
G3V802,response to hormone
G3V802,cellular process
G3V802,response to organic substance
G3V802,response to inorganic substance
G3V802,response to organonitrogen compound
G3V802,response to organic cyclic compound
G3V802,regeneration
G3V802,animal organ regeneration
G3V802,response to estradiol
G3V802,developmental process
G3V802,cellular response to hormone stimulus
G3V802,cellular response to stress
G3V802,response to glucagon
G3V802,response to lipid
G3V802,response to gonadotropin
G3V802,response to luteinizing hormone
G3V802,response to platelet-derived growth factor
G3V802,cellular response to platelet-derived growth factor stimulus
G3V802,response to decreased oxygen levels
G3V802,cellular response to decreased oxygen levels
G3V802,regulation of cell population proliferation
G3V802,response to cocaine
G3V802,response to chemical
G3V802,organelle
G3V802,membrane-bounded organelle
G3V802,intracellular organelle
G3V802,intracellular membrane-bounded organelle
G3V802,response to alkaloid
G3V802,response to peptide hormone
G3V802,ear development
G3V802,cellular response to leptin stimulus
G3V802,response to leptin
G3V802,regulation of fibroblast proliferation
G3V802,positive regulation of fibroblast proliferation
G3V802,animal organ development
G3V802,positive regulation of biological process
G3V802,positive regulation of cellular process
G3V802,inner ear development
G3V802,anatomical structure development
G3V802,regulation of biological process
G3V802,regulation of cellular process
G3V802,response to stimulus
G3V802,cellular response to stimulus
G3V802,biological regulation
G3V802,response to oxygen levels
G3V802,response to growth factor
G3V802,cellular response to chemical stimulus
G3V802,cellular response to inorganic substance
G3V802,cellular response to organic substance
G3V802,cellular response to alkaloid
G3V802,cellular response to cocaine
G3V802,cellular response to growth factor stimulus
G3V802,cellular response to gonadotropin stimulus
G3V802,cellular response to luteinizing hormone stimulus
G3V802,cellular response to peptide hormone stimulus
G3V802,cellular response to estradiol stimulus
G3V802,cellular response to lipid
G3V802,cellular response to organic cyclic compound
G3V802,cellular response to organonitrogen compound
G3V802,cellular response to oxygen levels
G3V802,cellular response to hypoxia
G3V802,cellular response to endogenous stimulus
G3V802,response to nitric oxide
G3V802,cellular response to nitric oxide
G3V802,cochlea development
G3V802,cellular anatomical entity
G3V802,response to peptide
G3V802,cellular response to peptide
G3V802,response to nitrogen compound
G3V802,cellular response to nitrogen compound
G3V802,response to oxygen-containing compound
G3V802,cellular response to oxygen-containing compound
G3V802,response to salt
G3V802,cellular response to salt
G3V802,cellular response to reactive nitrogen species
G3V802,cellular response to insulin-like growth factor stimulus
P0DJL2,molecular_function
P0DJL2,binding
P0DJL2,protein binding
P0DJL2,cellular_component
P0DJL2,extracellular region
P0DJL2,biological_process
P0DJL2,envenomation resulting in modulation of process in another organism
P0DJL2,modulation of process of another organism
P0DJL2,other organism part
P0DJL2,other organism cell membrane
P0DJL2,envenomation resulting in modulation of platelet aggregation in another organism
P0DJL2,biological process involved in interspecies interaction between organisms
P0DJL2,envenomation resulting in modulation of blood coagulation in another organism
P0DJL2,envenomation resulting in positive regulation of blood coagulation in another organism
P0DJL2,envenomation resulting in positive regulation of platelet aggregation in another organism
P0DJL2,envenomation resulting in impairment of hemostasis in another organism
P0DJL2,cellular anatomical entity
P83473,ossification
P83473,cellular_component
P83473,biological_process
P83473,tissue development
P83473,bone mineralization
P83473,external encapsulating structure
P83473,extracellular matrix
P83473,biomineral tissue development
P83473,multicellular organismal process
P83473,developmental process
P83473,animal organ development
P83473,anatomical structure development
P83473,cell periphery
P83473,cellular anatomical entity
C0HKY9,cellular_component
C0HKY9,extracellular region
C0HKY9,cellular anatomical entity
P58917,molecular_function
P58917,calcium channel regulator activity
P58917,binding
P58917,protein binding
P58917,ion channel inhibitor activity
P58917,channel regulator activity
P58917,channel inhibitor activity
P58917,calcium channel inhibitor activity
P58917,transmembrane transporter binding
P58917,molecular function regulator activity
P58917,ion channel regulator activity
P58917,molecular function inhibitor activity
P86362,cellular_component
P86362,extracellular region
P86362,cellular anatomical entity
P97275,nucleotide binding
P97275,molecular_function
P97275,catalytic activity
P97275,binding
P97275,cellular_component
P97275,intracellular anatomical structure
P97275,cytoplasm
P97275,peroxisome
P97275,peroxisomal membrane
P97275,lipid metabolic process
P97275,glycerol ether metabolic process
P97275,biological_process
P97275,metabolic process
P97275,alkylglycerone-phosphate synthase activity
P97275,lipid biosynthetic process
P97275,ether lipid biosynthetic process
P97275,biosynthetic process
P97275,cellular process
P97275,membrane
P97275,transferase activity
P97275,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
P97275,ether metabolic process
P97275,organelle membrane
P97275,microbody membrane
P97275,small molecule binding
P97275,microbody
P97275,ion binding
P97275,anion binding
P97275,organelle
P97275,membrane-bounded organelle
P97275,intracellular organelle
P97275,intracellular membrane-bounded organelle
P97275,cellular metabolic process
P97275,primary metabolic process
P97275,cellular biosynthetic process
P97275,cellular lipid metabolic process
P97275,small molecule metabolic process
P97275,ether lipid metabolic process
P97275,glycerol ether biosynthetic process
P97275,flavin adenine dinucleotide binding
P97275,organic substance metabolic process
P97275,FAD binding
P97275,organic cyclic compound binding
P97275,cellular lipid biosynthetic process
P97275,bounding membrane of organelle
P97275,cellular anatomical entity
P97275,nucleoside phosphate binding
P97275,heterocyclic compound binding
P97275,ether biosynthetic process
P97275,organic substance biosynthetic process
P08587,nucleotide binding
P08587,molecular_function
P08587,protein-glutamine gamma-glutamyltransferase activity
P08587,catalytic activity
P08587,binding
P08587,calcium ion binding
P08587,protein binding
P08587,GTP binding
P08587,nitrogen compound metabolic process
P08587,biological_process
P08587,metabolic process
P08587,transaminase activity
P08587,regulation of signal transduction
P08587,positive regulation of signal transduction
P08587,regulation of cell communication
P08587,positive regulation of cell communication
P08587,N-acyltransferase activity
P08587,transferase activity
P08587,acyltransferase activity
P08587,"acyltransferase activity, transferring groups other than amino-acyl groups"
P08587,aminoacyltransferase activity
P08587,"transferase activity, transferring nitrogenous groups"
P08587,hydrolase activity
P08587,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
P08587,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
P08587,purine nucleotide binding
P08587,peptide cross-linking
P08587,protein deamination
P08587,guanyl nucleotide binding
P08587,protein metabolic process
P08587,regulation of signaling
P08587,positive regulation of signaling
P08587,ribonucleotide binding
P08587,purine ribonucleotide binding
P08587,guanyl ribonucleotide binding
P08587,purine ribonucleoside triphosphate binding
P08587,small molecule binding
P08587,protein modification process
P08587,positive regulation of catalytic activity
P08587,regulation of GTPase activity
P08587,ion binding
P08587,anion binding
P08587,cation binding
P08587,macromolecule metabolic process
P08587,macromolecule modification
P08587,positive regulation of GTPase activity
P08587,positive regulation of molecular function
P08587,primary metabolic process
P08587,metal ion binding
P08587,positive regulation of biological process
P08587,positive regulation of cellular process
P08587,regulation of response to stimulus
P08587,positive regulation of response to stimulus
P08587,protein-glutamine glutaminase activity
P08587,regulation of biological process
P08587,regulation of catalytic activity
P08587,regulation of cellular process
P08587,regulation of body fluid levels
P08587,regulation of small GTPase mediated signal transduction
P08587,positive regulation of small GTPase mediated signal transduction
P08587,regulation of hydrolase activity
P08587,positive regulation of hydrolase activity
P08587,biological regulation
P08587,regulation of biological quality
P08587,regulation of molecular function
P08587,organic substance metabolic process
P08587,organic cyclic compound binding
P08587,carbohydrate derivative binding
P08587,peptide serotonyltransferase activity
P08587,peptide dopaminyltransferase activity
P08587,peptide noradrenalinyltransferase activity
P08587,peptide histaminyltransferase activity
P08587,"catalytic activity, acting on a protein"
P08587,regulation of hemostasis
P08587,nucleoside phosphate binding
P08587,heterocyclic compound binding
P08587,organonitrogen compound metabolic process
P08587,regulation of intracellular signal transduction
P08587,positive regulation of intracellular signal transduction
Q0SE23,molecular_function
Q0SE23,binding
Q0SE23,protein binding
Q0SE23,identical protein binding
Q8GSN8,molecular_function
Q8GSN8,catalytic activity
Q8GSN8,transferase activity
Q8GSN8,acyltransferase activity
Q8GSN8,"acyltransferase activity, transferring groups other than amino-acyl groups"
Q8GSN8,anthocyanin 6''-O-malonyltransferase activity
G5BQH5,molecular_function
G5BQH5,binding
G5BQH5,protein binding
G5BQH5,identical protein binding
G5BQH5,protein homodimerization activity
G5BQH5,protein dimerization activity
P83961,regulation of translation
P83961,biological_process
P83961,regulation of biosynthetic process
P83961,negative regulation of biosynthetic process
P83961,negative regulation of metabolic process
P83961,regulation of gene expression
P83961,regulation of macromolecule biosynthetic process
P83961,negative regulation of macromolecule biosynthetic process
P83961,negative regulation of macromolecule metabolic process
P83961,post-transcriptional regulation of gene expression
P83961,negative regulation of gene expression
P83961,negative regulation of translation
P83961,regulation of metabolic process
P83961,regulation of cellular metabolic process
P83961,negative regulation of cellular metabolic process
P83961,regulation of cellular biosynthetic process
P83961,negative regulation of cellular biosynthetic process
P83961,regulation of amide metabolic process
P83961,negative regulation of amide metabolic process
P83961,negative regulation of biological process
P83961,negative regulation of cellular process
P83961,regulation of biological process
P83961,regulation of cellular process
P83961,regulation of nitrogen compound metabolic process
P83961,negative regulation of nitrogen compound metabolic process
P83961,regulation of protein metabolic process
P83961,negative regulation of protein metabolic process
P83961,regulation of macromolecule metabolic process
P83961,biological regulation
P83961,regulation of primary metabolic process
P83961,regulation of cellular macromolecule biosynthetic process
P83961,negative regulation of cellular macromolecule biosynthetic process
P0DKB4,molecular_function
P0DKB4,catalytic activity
P0DKB4,lyase activity
P0DKB4,carbon-oxygen lyase activity
P0DKB4,hydro-lyase activity
Q8UYL3,molecular_function
Q8UYL3,binding
Q8UYL3,protein binding
P20639,molecular_function
P20639,binding
P20639,protein binding
P68456,molecular_function
P68456,binding
P68456,protein binding
Q2F862,molecular_function
Q2F862,binding
Q2F862,protein binding
Q2F862,identical protein binding
Q79EM8,molecular_function
Q79EM8,catalytic activity
Q79EM8,cellular aromatic compound metabolic process
Q79EM8,xenobiotic metabolic process
Q79EM8,biological_process
Q79EM8,metabolic process
Q79EM8,catabolic process
Q79EM8,response to xenobiotic stimulus
Q79EM8,cellular process
Q79EM8,lyase activity
Q79EM8,carbon-carbon lyase activity
Q79EM8,carboxy-lyase activity
Q79EM8,4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase activity
Q79EM8,phenanthrene metabolic process
Q79EM8,aromatic compound catabolic process
Q79EM8,xenobiotic catabolic process
Q79EM8,phenanthrene catabolic process
Q79EM8,response to chemical
Q79EM8,cellular metabolic process
Q79EM8,cellular catabolic process
Q79EM8,response to stimulus
Q79EM8,cellular response to stimulus
Q79EM8,cellular response to chemical stimulus
Q79EM8,cellular response to xenobiotic stimulus
Q79EM8,organic substance metabolic process
Q79EM8,hydrocarbon metabolic process
Q79EM8,hydrocarbon catabolic process
Q79EM8,organic cyclic compound metabolic process
Q79EM8,organic cyclic compound catabolic process
Q79EM8,organic substance catabolic process
Q91YB0,molecular_function
Q91YB0,DNA-binding transcription factor activity
Q91YB0,transcription regulator activity
Q98298,biological_process
Q98298,response to external stimulus
Q98298,response to biotic stimulus
Q98298,viral process
Q98298,modulation by virus of host process
Q98298,mitigation of host antiviral defense response
Q98298,modulation by virus of host cellular process
Q98298,mitigation of host defenses by symbiont
Q98298,modulation of process of another organism
Q98298,suppression by virus of host NF-kappaB cascade
Q98298,response to external biotic stimulus
Q98298,modulation by symbiont of host process
Q98298,modulation by symbiont of host cellular process
Q98298,biological process involved in symbiotic interaction
Q98298,biological process involved in interspecies interaction between organisms
Q98298,response to stimulus
Q98298,biological process involved in interaction with host
Q98298,response to other organism
Q98298,response to defenses of other organism
Q98298,response to host defenses
Q98298,response to host
Q58GE8,molecular_function
Q58GE8,catalytic activity
Q58GE8,prenyltransferase activity
Q58GE8,lipid metabolic process
Q58GE8,isoprenoid metabolic process
Q58GE8,biological_process
Q58GE8,metabolic process
Q58GE8,isoprenoid biosynthetic process
Q58GE8,lipid biosynthetic process
Q58GE8,biosynthetic process
Q58GE8,cellular process
Q58GE8,regulation of hormone levels
Q58GE8,transferase activity
Q58GE8,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
Q58GE8,secondary metabolic process
Q58GE8,hormone metabolic process
Q58GE8,hormone biosynthetic process
Q58GE8,pheromone metabolic process
Q58GE8,pheromone biosynthetic process
Q58GE8,cellular metabolic process
Q58GE8,primary metabolic process
Q58GE8,cellular biosynthetic process
Q58GE8,cellular lipid metabolic process
Q58GE8,secondary metabolite biosynthetic process
Q58GE8,geranylfarnesyl diphosphate synthase activity
Q58GE8,biological regulation
Q58GE8,regulation of biological quality
Q58GE8,organic substance metabolic process
Q58GE8,organic substance biosynthetic process
P0DUI3,cellular_component
P0DUI3,extracellular region
P0DUI3,cellular anatomical entity
U5TQC3,molecular_function
U5TQC3,binding
U5TQC3,protein binding
P06492,transcription cis-regulatory region binding
P06492,RNA polymerase II transcription regulatory region sequence-specific DNA binding
P06492,RNA polymerase II cis-regulatory region sequence-specific DNA binding
P06492,cis-regulatory region sequence-specific DNA binding
P06492,core promoter sequence-specific DNA binding
P06492,transcription regulatory region nucleic acid binding
P06492,molecular_function
P06492,nucleic acid binding
P06492,DNA binding
P06492,double-stranded DNA binding
P06492,DNA-binding transcription factor activity
P06492,transcription coregulator activity
P06492,transcription coactivator activity
P06492,structural molecule activity
P06492,binding
P06492,protein binding
P06492,cellular_component
P06492,transcription regulator complex
P06492,regulation of DNA-templated transcription
P06492,regulation of transcription by RNA polymerase II
P06492,transcription factor binding
P06492,biological_process
P06492,regulation of biosynthetic process
P06492,positive regulation of biosynthetic process
P06492,positive regulation of metabolic process
P06492,cellular process
P06492,regulation of gene expression
P06492,regulation of macromolecule biosynthetic process
P06492,positive regulation of macromolecule biosynthetic process
P06492,positive regulation of macromolecule metabolic process
P06492,viral process
P06492,cellular component organization
P06492,viral tegument
P06492,viral gene expression
P06492,viral transcription
P06492,regulation of nucleobase-containing compound metabolic process
P06492,regulation of metabolic process
P06492,cellular component assembly
P06492,regulation of cellular metabolic process
P06492,positive regulation of cellular metabolic process
P06492,regulation of cellular biosynthetic process
P06492,positive regulation of cellular biosynthetic process
P06492,protein-containing complex
P06492,structural constituent of virion
P06492,DNA-templated viral transcription
P06492,sequence-specific DNA binding
P06492,protein-containing complex organization
P06492,cellular component biogenesis
P06492,virion component
P06492,positive regulation of DNA-templated transcription
P06492,positive regulation of nucleobase-containing compound metabolic process
P06492,positive regulation of transcription by RNA polymerase II
P06492,regulation of viral transcription
P06492,positive regulation of biological process
P06492,positive regulation of cellular process
P06492,regulation of biological process
P06492,regulation of viral process
P06492,regulation of cellular process
P06492,regulation of nitrogen compound metabolic process
P06492,positive regulation of nitrogen compound metabolic process
P06492,regulation of RNA metabolic process
P06492,positive regulation of RNA metabolic process
P06492,regulation of macromolecule metabolic process
P06492,protein-containing complex assembly
P06492,biological regulation
P06492,cellular component organization or biogenesis
P06492,regulation of primary metabolic process
P06492,organic cyclic compound binding
P06492,molecular function regulator activity
P06492,transcription regulator activity
P06492,DNA-binding transcription factor binding
P06492,molecular function activator activity
P06492,heterocyclic compound binding
P06492,positive regulation of RNA biosynthetic process
P06492,regulation of nucleic acid-templated transcription
P06492,positive regulation of nucleic acid-templated transcription
P06492,sequence-specific double-stranded DNA binding
P06492,regulation of RNA biosynthetic process
P04486,molecular_function
P04486,binding
P04486,protein binding
P04486,molecular adaptor activity
P04486,molecular function regulator activity
P04486,molecular function activator activity
P06437,molecular_function
P06437,binding
P06437,protein binding
P06437,identical protein binding
P89454,biological_process
P89454,viral process
P89454,viral life cycle
P89454,virion assembly
P89454,exit of virus from host cell nucleus
P89454,viral budding
P89454,viral budding from nuclear membrane
P89454,transport of virus
P89454,exit of virus from host cell nucleus by nuclear egress
P89454,intracellular transport of virus
Q4VW77,regulation of cytokine production
Q4VW77,negative regulation of cytokine production
Q4VW77,regulation of cytokine-mediated signaling pathway
Q4VW77,negative regulation of cytokine-mediated signaling pathway
Q4VW77,regulation of immune system process
Q4VW77,negative regulation of immune system process
Q4VW77,regulation of response to biotic stimulus
Q4VW77,negative regulation of response to biotic stimulus
Q4VW77,molecular_function
Q4VW77,binding
Q4VW77,protein binding
Q4VW77,cellular_component
Q4VW77,biological_process
Q4VW77,response to external stimulus
Q4VW77,response to biotic stimulus
Q4VW77,negative regulation of metabolic process
Q4VW77,regulation of signal transduction
Q4VW77,negative regulation of signal transduction
Q4VW77,regulation of gene expression
Q4VW77,negative regulation of macromolecule metabolic process
Q4VW77,negative regulation of gene expression
Q4VW77,regulation of cell communication
Q4VW77,negative regulation of cell communication
Q4VW77,viral process
Q4VW77,host cellular component
Q4VW77,modulation by virus of host process
Q4VW77,mitigation of host antiviral defense response
Q4VW77,modulation by virus of host cellular process
Q4VW77,regulation of metabolic process
Q4VW77,regulation of signaling
Q4VW77,negative regulation of signaling
Q4VW77,host cell cytoplasm
Q4VW77,mitigation of host defenses by symbiont
Q4VW77,regulation of defense response
